2 3 89 1 48 6
2 7 89 1 48 6
3 7 89 1 47 5
2 7 89 1 8 5
3 7 89 1 48 6
2 7 89 1 48 6
3 8 89 1 48 6
2 8 89 1 48 6
2 8 89 1 48 6
2 8 89 1 48 6
2 8 89 1 36 6
2 8 89 1 48 6
2 10 89 1 48 6
2 10 89 1 48 6
2 12 89 1 48 6
2 13 89 1 48 6
2 13 89 1 48 6
3 13 89 1 48 6
2 13 89 1 48 6
2 13 89 1 48 6
2 14 89 1 48 6
2 14 89 1 48 6
2 14 89 1 48 6
2 14 89 1 9 5
2 14 89 1 48 6
2 14 89 1 48 6
2 14 89 1 36 6
2 14 89 1 32 7
2 14 89 1 48 6
2 16 89 1 48 6
2 16 89 1 36 6
2 16 89 1 48 6
3 16 89 1 48 6
2 16 89 1 36 6
2 16 89 1 48 6
2 16 89 1 36 6
2 16 89 1 48 6
2 16 89 1 23 4
3 16 89 1 48 6
2 17 89 1 48 6
2 17 89 1 48 6
2 17 89 1 36 6
2 17 89 1 48 6
2 17 89 1 36 6
2 17 89 1 48 6
2 17 89 1 36 6
2 17 89 1 48 6
2 17 89 1 48 6
3 18 89 1 48 6
2 18 89 1 36 6
2 18 89 1 48 6
2 18 89 1 48 6
3 18 89 1 23 4
2 18 89 1 48 6
3 18 89 1 23 4
2 18 89 1 36 6
2 18 89 1 48 6
2 20 89 1 8 5
2 21 89 1 48 6
3 21 89 1 48 6
2 21 89 1 36 6
2 21 89 1 48 6
2 21 89 1 48 6
2 21 89 1 48 6
2 21 89 1 5 5
2 21 89 1 48 6
2 23 89 1 23 4
3 25 89 1 48 6
2 25 89 1 48 6
2 25 89 1 48 6
2 25 89 1 9 5
2 25 89 1 23 4
2 25 89 1 36 6
2 25 89 1 48 6
3 25 89 1 48 6
2 26 89 1 48 6
2 26 89 1 48 6
2 26 89 1 48 6
2 26 89 1 48 6
3 26 89 1 47 5
2 26 89 1 48 6
2 26 89 1 48 6
2 26 89 1 36 6
2 26 89 1 48 6
2 44 89 1 5 5
2 45 89 1 48 6
2 60 89 1 23 4
2 60 89 1 48 6
3 60 89 1 28 4
2 60 89 1 48 6
2 60 89 1 48 6
2 60 89 1 23 4
2 61 89 1 23 4
2 61 89 1 23 4
2 61 89 1 48 6
2 61 89 1 48 6
2 61 89 1 48 6
2 61 89 1 48 6
2 62 89 1 48 6
2 62 89 1 32 6
2 67 89 1 7 7
2 69 89 1 32 5
2 69 89 1 8 5
2 70 89 1 48 6
2 70 89 1 48 6
2 70 89 1 48 6
2 70 89 1 8 5
2 76 89 1 48 6
2 85 89 1 48 6
2 85 89 1 23 4
3 86 89 1 48 6
2 86 89 1 8 5
2 86 89 1 8 5
2 87 89 1 31 5
3 87 89 1 48 6
3 87 89 1 5 5
2 87 89 1 48 6
2 89 89 1 48 6
2 89 89 1 23 4
3 89 89 1 48 6
2 89 89 1 36 6
2 89 89 1 8 5
3 89 89 1 48 6
2 89 89 1 36 6
2 103 89 1 5 5
2 103 89 1 48 6
2 103 89 1 48 6
2 105 89 1 48 6
2 105 89 1 36 6
2 105 89 1 48 6
2 105 89 1 23 4
3 105 89 1 48 6
2 2 68 2 48 6
2 3 68 2 23 4
2 3 68 2 48 6
2 3 68 2 23 4
2 3 68 2 36 6
2 3 68 2 48 6
2 4 68 2 48 6
2 7 68 2 23 4
2 7 68 2 23 4
2 7 68 2 40 5
2 7 68 2 32 5
2 7 68 2 37 5
2 8 68 2 48 6
2 12 68 2 36 6
3 12 68 2 23 4
2 13 68 2 48 6
2 13 68 2 23 4
2 16 68 2 48 6
2 16 68 2 36 6
2 16 68 2 36 6
2 16 68 2 48 6
2 17 68 2 48 6
2 17 68 2 36 6
2 17 68 2 48 6
2 17 68 2 36 6
2 18 68 2 30 5
2 18 68 2 23 4
2 18 68 2 23 4
3 18 68 2 48 6
2 18 68 2 48 6
2 18 68 2 23 4
2 18 68 2 48 6
2 20 68 2 23 4
2 20 68 2 36 6
2 20 68 2 48 6
2 21 68 2 36 6
2 21 68 2 23 4
2 23 68 2 48 6
2 23 68 2 48 6
2 23 68 2 23 4
2 23 68 2 36 6
2 23 68 2 48 6
2 23 68 2 23 4
2 23 68 2 48 6
2 23 68 2 8 5
2 23 68 2 23 4
2 23 68 2 36 6
3 23 68 2 48 6
2 23 68 2 23 4
2 23 68 2 48 6
2 23 68 2 23 4
2 23 68 2 23 4
3 23 68 2 48 6
2 23 68 2 36 6
2 23 68 2 31 5
2 23 68 2 23 4
2 23 68 2 36 6
2 23 68 2 48 6
2 23 68 2 23 4
2 23 68 2 48 6
2 23 68 2 23 4
3 23 68 2 48 6
2 23 68 2 48 6
2 23 68 2 31 5
2 23 68 2 23 4
2 25 68 2 23 4
2 25 68 2 48 6
2 25 68 2 36 6
2 25 68 2 23 4
3 25 68 2 48 6
2 25 68 2 36 6
2 25 68 2 31 5
2 25 68 2 23 4
2 26 68 2 48 6
3 26 68 2 36 6
2 26 68 2 48 6
3 26 68 2 48 6
2 26 68 2 8 5
2 26 68 2 48 6
2 26 68 2 48 6
2 26 68 2 48 6
2 26 68 2 36 6
2 26 68 2 48 6
2 26 68 2 36 6
2 26 68 2 23 4
2 26 68 2 32 5
2 26 68 2 48 6
2 26 68 2 36 6
2 26 68 2 48 6
2 26 68 2 10 5
2 26 68 2 36 6
3 26 68 2 48 6
2 26 68 2 36 6
2 26 68 2 23 4
2 26 68 2 48 6
2 26 68 2 36 6
2 26 68 2 23 4
2 26 68 2 36 6
2 26 68 2 48 6
2 26 68 2 48 6
2 26 68 2 23 4
2 26 68 2 48 6
2 26 68 2 32 5
2 26 68 2 48 6
2 26 68 2 36 6
